Date,Amount,Vendor,Description
2026-02-01,250,Swiggy,Lunch
2026-02-02,500,Amazon,Headphones
2026-02-03,90,Ola,Auto ride
2026-02-04,409,Amazon,Earphones
2026-02-05,1077,BookMyShow,Drama
2026-02-06,1987,Flipkart,Gadgets
2026-02-07,1318,Zomato,Snacks
2026-02-08,953,BookMyShow,Movie
2026-02-09,1931,Swiggy,lunch
2026-02-10,1754,Zomato,Brunch
2026-02-11,1070,Zomato,Dinner
2026-02-12,434,Flipkart,Mobile
2026-02-13,334,BigBasket,Groceries
2026-02-14,1624,Swiggy,Lunch
2026-02-15,583,Amazon,Shopping
2026-02-16,1044,Ola,Cab ride
2026-02-17,1762,Amazon,Groceries
2026-02-18,1295,Swiggy,Snacks
2026-02-19,431,BookMyShow,K-Drama
2026-02-20,479,Uber,Cab ride
2026-02-21,235,Amazon,Shopping
2026-02-22,886,Flipkart,Gym Equipments
2026-02-23,423,Uber,InterCity ride
2026-02-24,1193,Reliance Mart,Snacks
2026-02-25,1069,BookMyShow,Movies
2026-02-26,744,Amazon,Gift Card
2026-02-27,107,BigBasket,Vegetables
2026-02-28,1986,Flipkart,Electronics
2026-03-01,1688,Ola, cab ride
2026-03-02,1764,Flipkart,Shopping
